Id,price
1,890.92
2,2911.21
3,870.41
4,2683.05
5,1115.86
6,10515.1
7,5796.3
8,4638.35
9,2164.3
10,770.43
11,1654.34
12,1486.92
13,3890.42
14,5170.13
15,1209.65
16,2484.16
17,2290.04
18,12320.88
19,4628.44
20,5363.13
21,1847.83
22,1062.08
23,773.78
24,1350.57
25,6533.92
26,3057.21
27,12915.51
28,1502.03
29,2413.23
30,1376.55
31,1180.97
32,782.93
33,7548.66
34,5101.61
35,7915.71
36,2324.72
37,6251.38
38,1295.3
39,458.24
40,1552.77
41,3204.35
42,9944.36
43,6092.17
44,5540.52
45,793.08
46,852.04
47,1428.99
48,607.29
49,623.79
50,749.63
51,649.71
52,3740.82
53,15688.35
54,849.23
55,11001.84
56,14855.31
57,4261.87
58,1660.58
59,16047.95
60,11263.11
61,688.73
62,4337.24
63,14152.68
64,12787.18
65,1890.75
66,9399.17
67,2881.36
68,1125.81
69,972.15
70,1417.97
71,1310.88
72,731.43
73,6218.63
74,703.22
75,5397.88
76,4612.87
77,1675.63
78,9313.01
79,3168.34
80,1238.41
81,10990.82
82,880.52
83,5351.6
84,4572.72
85,479.01
86,4453.99
87,5456.35
88,5008.83
89,6077.37
90,1978.78
91,15934.42
92,900.92
93,541.75
94,577.49
95,641.85
96,619.52
97,1601.05
98,3348.02
99,2268.58
100,2301.87
101,15354.79
102,1903.37
103,749.02
104,4321.82
105,3399.85
106,6110.76
107,1466.92
108,11444.36
109,847.03
110,797.19
111,3139.55
112,904.61
113,695.46
114,687.4
115,586.9
116,10248.04
117,963.28
118,912.33
119,992.13
120,5474.7
121,693.14
122,703.51
123,7910.85
124,1764.02
125,1405.51
126,574.72
127,5002.65
128,4647.04
129,1186.34
130,884.32
131,806.74
132,5769.78
133,816.7
134,5669.15
135,16018.27
136,9869.06
137,563.16
138,1734.02
139,743.89
140,662.68
141,6336.61
142,1428.19
143,6463.18
144,761.7
145,3880.13
146,3190.03
147,5500.23
148,1200.67
149,6944.95
150,1215.03
151,10276.53
152,4725.23
153,866.5
154,870.34
155,909.72
156,6879.83
157,3811.35
158,3680.7
159,1260.5
160,8204.57
161,6270.09
162,521.09
163,556.55
164,14458.07
165,9421.09
166,2127.37
167,703.77
168,1520.19
169,4234.79
170,764.06
171,5931.24
172,4496.64
173,9500.24
174,14943.48
175,12614.35
176,5619.91
177,3911.14
178,799.9
179,3130.59
180,2662.45
181,537.39
182,1029.67
183,2110.53
184,2218.54
185,784.73
186,1127.66
187,1797.32
188,2496.81
189,2020.41
190,5093.7
191,4323.46
192,915.51
193,6176.43
194,14556.55
195,3520.17
196,10209.59
197,3509.45
198,4460.53
199,4625.79
200,610.92
201,5324.04
202,568.83
203,6767.32
204,8426.95
205,1200.31
206,5244.9
207,5433.74
208,2948.43
209,5541.9
210,5706.09
211,766.36
212,2333.14
213,2204.84
214,1742.29
215,16695.24
216,1216.22
217,3168.61
218,476.69
219,2614.47
220,1667.68
221,12595.67
222,7736.3
223,569.39
224,1625.44
225,520.81
226,767.11
227,995.76
228,2749.51
229,4631.08
230,2878.09
231,1631.29
232,683.64
233,517.98
234,2143.71
235,12048.75
236,805.76
237,734.43
238,4867.7
239,606.13
240,5120.62
241,2383.04
242,443.36
243,15975.48
244,6567.66
245,7928.99
246,4065.88
247,766.58
248,994.21
249,1602.24
250,4799.33
251,7313.24
252,11814.14
253,610.58
254,16655.79
255,660.61
256,16827.24
257,5228.03
258,1686.37
259,877.45
260,6626.52
261,1178.88
262,2430.73
263,880.97
264,8377.48
265,1752.56
266,629.27
267,12720.01
268,1891.87
269,15901.95
270,5098.37
271,6870.43
272,5502.42
273,558.2
274,6002.57
275,892.11
276,3522.94
277,4767.68
278,1014.45
279,2047.68
280,815.32
281,481.86
282,13414.38
283,6483.89
284,1443.71
285,4877.73
286,612.81
287,2995.31
288,632.27
289,12019.14
290,2278.04
291,3867.82
292,2876.82
293,2558.72
294,4243.37
295,781.27
296,1211.77
297,7052.27
298,5805.99
299,531.04
300,13535.06
301,6071.08
302,1191.69
303,936.42
304,9300.57
305,879.87
306,956.2
307,1905.14
308,726.98
309,10804.1
310,418.02
311,12672.69
312,940.35
313,1209.83
314,519.52
315,697.63
316,2366.9
317,889.97
318,6108.51
319,611.05
320,3764.41
321,2870.06
322,849.63
323,5771.54
324,3441.25
325,3318.04
326,588.79
327,614.75
328,10004.52
329,651.66
330,1729.2
331,4195.35
332,5491.82
333,9214.89
334,2613.25
335,3090.5
336,1512.58
337,4089.81
338,1772.39
339,13223.91
340,1654
341,6691.65
342,11361.63
343,2446.24
344,11028.75
345,1045.23
346,678.23
347,2399.99
348,3273.2
349,4456.63
350,530.37
351,14808.12
352,757.74
353,3706.88
354,6283.04
355,1829.1
356,2337.2
357,11708.43
358,2372.7
359,1316.08
360,1971.13
361,830.68
362,4752.26
363,2375.76
364,765.14
365,859.09
366,371.16
367,2242.72
368,1313.89
369,1662.77
370,4850.34
371,1615.96
372,2493.24
373,545.31
374,2681.48
375,6817.99
376,4062.53
377,9256.52
378,3457.07
379,1432.34
380,796.69
381,4273.66
382,3638.07
383,6997.74
384,667.42
385,536.23
386,644.54
387,1677.36
388,447.09
389,3192.15
390,709.17
391,889.08
392,5719.69
393,8479.84
394,2643.8
395,1569.57
396,1075.54
397,9798.31
398,948.25
399,991
400,9748.8
401,5429.27
402,743.23
403,2219.33
404,9952.24
405,2187.12
406,4597.32
407,1462.31
408,4012.76
409,1983.16
410,2372.59
411,791.68
412,1220.62
413,4554.3
414,848.65
415,4814.24
416,1115.55
417,4832.66
418,909.23
419,374.44
420,1220.05
421,487.31
422,543.98
423,16129.11
424,6141.67
425,1891.83
426,1961.18
427,2599.6
428,1671.86
429,2550.36
430,1236.51
431,1024.98
432,2823.59
433,5245.66
434,3978.73
435,1205.32
436,1279.25
437,5966.69
438,595.41
439,8591.8
440,617.99
441,15262.23
442,6409.53
443,11812.86
444,926.82
445,688.17
446,1604.03
447,3819.29
448,591.97
449,891.39
450,7542.82
451,7271.56
452,2101.95
453,2565.56
454,14527.64
455,9294.84
456,687.55
457,928.88
458,593.3
459,10339.41
460,2721.78
461,941.14
462,15280.19
463,833.52
464,6813.86
465,1214.75
